pmid,year,journal,verdict,reason,pqtl,title
41928268,2026,J Transl Med,EXCLUDE,no MR/eQTL/coloc method,False,Comprehensive multi-method analysis of blood heavy metals and nutrient intake in myopia and high myopia.
42064014,2026,Ophthalmol Sci,EXCLUDE,"review/meta-analysis, no extractable targets",False,Genome-Wide Meta-Analysis for High Myopia Provides Insights into Disease Mechanisms and Reveals a Causal Link to Primary Open-Angle Glaucoma.
42245065,2026,medRxiv,EXCLUDE,"review/meta-analysis, no extractable targets",False,Genome-wide discovery reveals 30 loci for choroidal thickness and uncovers potential causal links with angle-closure glaucoma.
40458666,2025,Ophthalmol Sci,EXCLUDE,"review/meta-analysis, no extractable targets",False,Corneal Biomechanics as a Causal Factor in Myopia and Astigmatism: Evidence from Mendelian Randomization.
41105908,2025,Neurology,EXCLUDE,"review/meta-analysis, no extractable targets",False,Retinal Microvascular Correlates of Cerebral Small Vessel Disease in Older Age.
41238566,2025,Nat Commun,EXCLUDE,"review/meta-analysis, no extractable targets",False,GWAS for primary angle-closure glaucoma identifies loci related to ocular biometry and morphology.
40128813,2025,Hum Genomics,EXCLUDE,"review/meta-analysis, no extractable targets",False,Genetic risk factors associated with ocular perfusion pressure in primary open-angle glaucoma.
39538342,2024,Clin Epigenetics,EXCLUDE,"review/meta-analysis, no extractable targets",False,"DNA methylation biomarkers and myopia: a multi-omics study integrating GWAS, mQTL and eQTL data."
40206264,2024,Ophthalmol Sci,EXCLUDE,"review/meta-analysis, no extractable targets",False,"Causal Links between Gut Microbiota, Blood Metabolites, Immune Cells, Inflammatory Proteins, and Myopia: A Mendelian Randomization Study."
38342383,2024,Prev Med,EXCLUDE,"review/meta-analysis, no extractable targets",False,Association of sleep traits with myopia in children and adolescents: A meta-analysis and Mendelian randomization study.
38423204,2024,Exp Eye Res,EXCLUDE,"review/meta-analysis, no extractable targets",False,Causal associations of refractive error and early age-related macular degeneration: A Mendelian randomization study.
38931287,2024,Nutrients,EXCLUDE,"review/meta-analysis, no extractable targets",False,No Evidence of an Association between Genetic Factors Affecting Response to Vitamin A Supplementation and Myopia: A Mendelian Randomization Study and Meta-Analysis.
